cloneId	geneSymbol	T0_A	T0_B	T0_C	T16_A	T16_B	T16_C
TRCN0000074420	FIP1L1	16	16	11	1	1	1
TRCN0000074421	FIP1L1	29	28	24	10	16	27
TRCN0000074422	FIP1L1	37	34	35	21	22	58
TRCN0000029429	FTH1	7	4	8	3	10	2
TRCN0000029430	FTH1	10	10	10	5	16	19
TRCN0000029431	FTH1	12	13	12	14	10	57
TRCN0000029432	FTH1	13	13	7	4	2	7
TRCN0000029433	FTH1	17	17	17	21	15	19
TRCN0000051699	GALNS	22	18	17	8	15	4
TRCN0000051700	GALNS	43	40	36	19	12	12
TRCN0000051701	GALNS	11	5	36	9	34	18
TRCN0000220605	GAPVD1	19	20	23	3	2	1
TRCN0000220606	GAPVD1	19	18	13	76	28	14
TRCN0000220607	GAPVD1	14	15	23	1	1	1
TRCN0000220608	GAPVD1	14	13	12	5	2	5
TRCN0000037634	GK	21	20	22	6	4	3
TRCN0000037635	GK	16	17	19	3	12	9
TRCN0000037637	GK	27	30	17	23	26	16
TRCN0000037638	GK	21	21	20	8	18	9
TRCN0000046458	GMPR	8	11	4	6	7	6
TRCN0000046459	GMPR	16	16	14	14	10	12
TRCN0000046460	GMPR	9	10	6	29	35	5
TRCN0000046461	GMPR	8	9	8	19	5	5
TRCN0000046462	GMPR	28	27	17	10	6	6
TRCN0000036464	GNA15	11	13	11	6	3	7
TRCN0000036465	GNA15	9	9	12	12	20	6
TRCN0000036466	GNA15	19	19	18	18	14	27
TRCN0000036468	GNA15	10	9	14	16	22	15
TRCN0000034824	GOT2	16	16	18	6	29	6
TRCN0000034825	GOT2	14	11	21	19	3	19
TRCN0000034826	GOT2	15	15	22	44	61	81
TRCN0000034827	GOT2	18	18	16	10	22	10
TRCN0000034828	GOT2	19	18	22	13	12	14
TRCN0000014518	GPR123	61	66	79	10	13	30
TRCN0000014519	GPR123	15	16	24	4	2	10
TRCN0000014520	GPR123	23	23	24	5	3	5
TRCN0000014521	GPR123	19	17	13	82	29	99
TRCN0000014522	GPR123	8	5	7	2	11	3
TRCN0000014403	GPR151	27	28	31	14	5	7
TRCN0000014404	GPR151	26	28	35	19	28	28
TRCN0000014407	GPR151	10	10	12	9	3	22
TRCN0000062923	GPR158	32	29	25	1	1	1
TRCN0000062924	GPR158	27	29	23	14	20	32
TRCN0000062925	GPR158	22	24	13	23	34	15
TRCN0000062926	GPR158	24	25	32	70	73	86
TRCN0000062927	GPR158	30	30	45	15	28	9
TRCN0000221114	GPR183	33	35	37	79	45	72
TRCN0000221115	GPR183	45	47	50	65	68	86
TRCN0000221116	GPR183	12	4	18	5	7	3
TRCN0000221117	GPR183	23	24	21	4	13	3
TRCN0000221118	GPR183	48	49	55	5	12	7
TRCN0000008887	GPR35	15	18	15	10	5	4
